id,url
1,http://speculum.pt/
2,http://www.genetimes.com.cn
3,http://www.labtronic.com.gt
4,http://www.transasia.co.in
5,www.2BScientific.com
6,www.abcysonline.com
7,www.alhayatuae.com
8,www.aljeel.com.sa/
9,www.alleights.com
10,www.anl.se
11,www.antisel.gr
12,www.argene.com
13,www.arrowdiagnostics.it
14,www.atcmed.com
15,www.badersultan.com
16,www.baria.cz
17,www.bindingsite.co.uk
18,www.biocorp.pl
19,www.biodynamics.gr/
20,www.biomerieux.ch/servlet/srt/bio/switzerland/home
21,www.biomerieux.co.uk/servlet/srt/bio/englishuk/home
22,www.biomerieux.com.ar/servlet/srt/bio/argentina/home
23,www.biomerieux.com.au/servlet/srt/bio/australia/home
24,www.biomerieux.com.mx/servlet/srt/bio/mexico/home
25,www.biomerieux.com/servlet/srt/bio/portail/home
26,www.biomerieux.de/servlet/srt/bio/germany/home
27,www.biomerieux.es/servlet/srt/bio/spain/home
28,www.biomerieux.fr/servlet/srt/bio/france/home
29,www.biomerieux.pl/servlet/srt/bio/poland/home
30,www.biomerieux.pt/servlet/srt/bio/portugal/home
31,www.bionova.es
32,www.bioproducts.at
33,www.biosciencessas.com
34,www.bioselec.com.mx
35,www.biosite.fi
36,www.biosite.se
37,www.biotech-igg.com
38,www.biotechlab-s.com
39,www.biotechmedical.com.my
40,www.biotest.ch
41,www.cdc.gov/
42,www.cellsciences.com
43,www.citypharmacy.com/
44,www.cosmobio.co.jp
45,www.cwp.co.kr/eng
46,www.cybeles.de
47,www.diagnosticsolutions.com.au
48,www.diagnostictechnology.com.au
49,www.diamedica.lt/
50,www.diamedica.lv/
51,www.dicipa.com.mx
52,www.dicipa.com.mx/
53,www.dlongwood.com
54,www.dm4you.com
55,www.dynex.cz
56,www.elta90.com
57,www.enco.co.il
58,www.exelixisdiagnostics.gr
59,www.fdi.com/
60,www.funakoshi.co.jp
61,www.gamidor.com
62,www.gelifesciences.com/contact
63,www.gen-probe.com
64,www.genxpress.at
65,www.grifols.com/web/contenidoWorldwide2.asp?seccion=3&subseccion=152&tercero=1
66,www.grifols.com/web/contenidoWorldwide2.asp?seccion=3&subseccion=152&tercero=2
67,www.grifols.com/web/contenidoWorldwide2.asp?seccion=3&subseccion=152&tercero=21
68,www.hoelzel-biotech.com
69,www.hoorapharma.com/
70,www.iepsa.co.za
71,www.ilex.co.za
72,www.ilexbiotech.com
73,www.ilexmedical.com/
74,www.immuniq.pl
75,www.immunodiagnostic.fi
76,www.inalco.it
77,www.inmunochem.com
78,www.inmunolab.com/
79,www.inno-train.de
80,www.innobiotech.com.sg/
81,www.innomt.com
82,www.interlux.lt
83,www.interlux.lv
84,www.izasa.es
85,www.jybst.com
86,www.labgeminis.com
87,www.laboratoriosandromaco.cl
88,www.labortechnik.com
89,www.lucronbioproducts.com
90,www.medical-supply.ie
91,www.medical.siemens.com
92,www.medicom.com.kh/
93,www.medox.net
94,www.mikromed.com.tr
95,www.milenia-biotec.de
96,www.modernlab.com/
97,www.mol-gen.com
98,www.montebello.no
99,www.nekoind.co.kr
100,www.nordicbiosite.dk
101,www.nouh.com.eg/
102,www.nyalatech.com
103,www.padginteb.com
104,www.pantec.it
105,www.pro-gensa.com
106,www.quilaban.pt
107,www.reaction-lab.com
108,www.rem.ind.br
109,www.sanquin.nl÷
110,www.scienceintel.com
111,www.sultan.com
112,www.syslab-sp.com.br/
113,www.technogenetics.it
114,www.tecnodiagnostica.com/
115,www.teomed.ch
116,www.tinhangtech.com
117,www.tlss.com.tw
118,www.transasia.co.in
119,www.trinova.de
120,www.usaid.gov/
121,www.weldonbiotech.com
122,www.whitesci.co.za
123,www.woongbee.com
124,www.zahrawi.com
